gcf_id	bgc_id	membership_value	rank	id	name	type	on_contig_edge	length_nt	orig_folder	orig_filename	chem_subclass_id
245560	49	496	0	49	example_input/no008_BPW1_concoct.011_NODE_73120_length_3535_cov_9.991784.region001	as6	1	3535	example_input	no008_BPW1_concoct.011_NODE_73120_length_3535_cov_9.991784.region001.gbk	1
244878	12	507	0	12	example_input/no008_BPW1_metabat2.257_NODE_27018_length_6564_cov_5.062141.region001	as6	1	6564	example_input	no008_BPW1_metabat2.257_NODE_27018_length_6564_cov_5.062141.region001.gbk	1
245560	55	746	0	55	example_input/no008_BPW1_metabat2.261_NODE_24002_length_7081_cov_3.902358.region001	as6	1	7081	example_input	no008_BPW1_metabat2.261_NODE_24002_length_7081_cov_3.902358.region001.gbk	1
245936	106	1159	0	106	example_input/NZ_CP085193.1.region003	as6	0	8916	example_input	NZ_CP085193.1.region003.gbk	1
244878	20	706	0	20	example_input/NZ_CP085193.1.region019	as6	0	9261	example_input	NZ_CP085193.1.region019.gbk	1
246125	40	598	0	40	example_input/no008_BPW1_concoct.011_NODE_14568_length_9905_cov_11.293312.region001	as6	1	9905	example_input	no008_BPW1_concoct.011_NODE_14568_length_9905_cov_11.293312.region001.gbk	1
245560	95	577	0	95	example_input/no008_BPW1_concoct.011_NODE_14374_length_9992_cov_12.411860.region001	as6	1	9992	example_input	no008_BPW1_concoct.011_NODE_14374_length_9992_cov_12.411860.region001.gbk	1
244878	38	747	0	38	example_input/NZ_CP085193.1.region045	as6	0	10219	example_input	NZ_CP085193.1.region045.gbk	1
244878	26	1041	0	26	example_input/NZ_CP085193.1.region032	as6	0	10405	example_input	NZ_CP085193.1.region032.gbk	1
244878	63	675	0	63	example_input/NZ_CP085193.1.region020	as6	0	10514	example_input	NZ_CP085193.1.region020.gbk	1
244878	29	925	0	29	example_input/c00003_Hain_H3...region002	as6	0	10843	example_input	c00003_Hain_H3...region002.gbk	1
244878	112	872	0	112	example_input/c00079_Hain_H4...region001	as6	0	10846	example_input	c00079_Hain_H4...region001.gbk	1
244878	35	835	0	35	example_input/c00022_Hain_H5...region001	as6	0	10858	example_input	c00022_Hain_H5...region001.gbk	1
244878	115	1013	0	115	example_input/NZ_CP085193.1.region010	as6	0	10933	example_input	NZ_CP085193.1.region010.gbk	1
244878	72	886	0	72	example_input/NZ_CP085193.1.region022	as6	0	11096	example_input	NZ_CP085193.1.region022.gbk	1
244878	93	868	0	93	example_input/c00027_Hain_H4...region001	as6	0	11866	example_input	c00027_Hain_H4...region001.gbk	1
244878	16	732	0	16	example_input/no008_BPW1_concoct.011_NODE_162_length_149720_cov_11.448798.region001	as6	0	11926	example_input	no008_BPW1_concoct.011_NODE_162_length_149720_cov_11.448798.region001.gbk	1
244878	6	843	0	6	example_input/no008_BPW1_concoct.011_NODE_10537_length_12386_cov_11.319194.region001	as6	1	12386	example_input	no008_BPW1_concoct.011_NODE_10537_length_12386_cov_11.319194.region001.gbk	1
245560	116	564	0	116	example_input/no008_BPW1_concoct.011_NODE_10327_length_12567_cov_11.751768.region001	as6	1	12567	example_input	no008_BPW1_concoct.011_NODE_10327_length_12567_cov_11.751768.region001.gbk	1
244893	101	1440	0	101	example_input/no008_BPW1_metabat2.257_NODE_9888_length_12956_cov_5.326682.region001	as6	1	12956	example_input	no008_BPW1_metabat2.257_NODE_9888_length_12956_cov_5.326682.region001.gbk	1
244878	32	889	0	32	example_input/no008_BPW1_metabat2.257_NODE_9358_length_13477_cov_5.021798.region001	as6	1	13477	example_input	no008_BPW1_metabat2.257_NODE_9358_length_13477_cov_5.021798.region001.gbk	1
245560	85	649	0	85	example_input/no008_BPW1_metabat2.257_NODE_9190_length_13661_cov_4.571893.region001	as6	1	13661	example_input	no008_BPW1_metabat2.257_NODE_9190_length_13661_cov_4.571893.region001.gbk	1
245936	15	1437	0	15	example_input/no008_BPW1_metabat2.261_NODE_5478_length_19704_cov_3.899065.region001	as6	1	13910	example_input	no008_BPW1_metabat2.261_NODE_5478_length_19704_cov_3.899065.region001.gbk	1
244926	24	1188	0	24	example_input/no008_BPW1_metabat2.257_NODE_8839_length_14063_cov_5.166404.region001	as6	1	14063	example_input	no008_BPW1_metabat2.257_NODE_8839_length_14063_cov_5.166404.region001.gbk	1
244878	22	1449	0	22	example_input/no008_BPW1_concoct.011_NODE_3730_length_25784_cov_11.718790.region001	as6	1	14518	example_input	no008_BPW1_concoct.011_NODE_3730_length_25784_cov_11.718790.region001.gbk	1
244878	104	902	0	104	example_input/no008_BPW1_metabat2.257_NODE_1229_length_53435_cov_4.332427.region001	as6	1	15632	example_input	no008_BPW1_metabat2.257_NODE_1229_length_53435_cov_4.332427.region001.gbk	1
244878	84	1431	0	84	example_input/NZ_CP085193.1.region034	as6	0	16269	example_input	NZ_CP085193.1.region034.gbk	1
244926	48	1239	0	48	example_input/no008_BPW1_metabat2.257_NODE_6970_length_16528_cov_5.588501.region001	as6	1	16528	example_input	no008_BPW1_metabat2.257_NODE_6970_length_16528_cov_5.588501.region001.gbk	1
245560	76	761	0	76	example_input/no008_BPW1_concoct.011_NODE_6939_length_16578_cov_12.010455.region001	as6	1	16578	example_input	no008_BPW1_concoct.011_NODE_6939_length_16578_cov_12.010455.region001.gbk	1
244878	10	1177	0	10	example_input/no008_BPW1_concoct.011_NODE_6539_length_17306_cov_10.475755.region001	as6	1	17306	example_input	no008_BPW1_concoct.011_NODE_6539_length_17306_cov_10.475755.region001.gbk	1
244878	100	1409	0	100	example_input/c00026_Hain_H4...region001	as6	1	18413	example_input	c00026_Hain_H4...region001.gbk	1
244878	30	1160	0	30	example_input/NZ_CP085193.1.region040	as6	0	19746	example_input	NZ_CP085193.1.region040.gbk	1
244878	78	1307	0	78	example_input/NZ_CP085193.1.region039	as6	0	19876	example_input	NZ_CP085193.1.region039.gbk	1
244878	110	929	0	110	example_input/NC_003143.1.region007	as6	0	20320	example_input	NC_003143.1.region007.gbk	1
244878	91	1380	0	91	example_input/NZ_CP085193.1.region047	as6	0	20391	example_input	NZ_CP085193.1.region047.gbk	1
244878	25	1305	0	25	example_input/no008_BPW1_metabat2.261_NODE_875_length_65081_cov_4.065292.region001	as6	0	20441	example_input	no008_BPW1_metabat2.261_NODE_875_length_65081_cov_4.065292.region001.gbk	1
245671	60	1528	0	60	example_input/NZ_CP085193.1.region031	as6	0	20571	example_input	NZ_CP085193.1.region031.gbk	1
244878	99	1164	0	99	example_input/no008_BPW1_concoct.011_NODE_217_length_131797_cov_11.416473.region001	as6	1	20576	example_input	no008_BPW1_concoct.011_NODE_217_length_131797_cov_11.416473.region001.gbk	1
244878	52	1449	0	52	example_input/no008_BPW1_metabat2.257_NODE_867_length_65717_cov_4.900595.region001	as6	1	20594	example_input	no008_BPW1_metabat2.257_NODE_867_length_65717_cov_4.900595.region001.gbk	1
244878	67	841	0	67	example_input/NC_003143.1.region009	as6	0	20645	example_input	NC_003143.1.region009.gbk	1
244878	103	1351	0	103	example_input/NZ_CP085193.1.region009	as6	0	20756	example_input	NZ_CP085193.1.region009.gbk	1
244878	19	1299	0	19	example_input/NZ_CP085193.1.region048	as6	0	20909	example_input	NZ_CP085193.1.region048.gbk	1
246216	46	1195	0	46	example_input/c00030_Hain_H4...region001	as6	0	20945	example_input	c00030_Hain_H4...region001.gbk	1
